Gene,log2FC,p.val,p.adj
Gene1,-0.13107407247095457,0.5191053795519952,0.8897623533164092
Gene10,1.687272346169583,3.444518442243655e-7,2.2963456281624368e-5
Gene100,1.5425707342738504,4.914273241068157e-7,2.4571366205340787e-5
Gene101,-0.05321362540163002,0.7744103946973983,0.9680991209431772
Gene102,-0.148545982212481,0.09454861289456866,0.5491451057280216
Gene103,-0.12174527235236939,0.5137461863783056,0.8897623533164092
Gene104,-0.1064615690227047,0.3366979346094187,0.7922304343751029
Gene105,-0.036394237260399594,0.7850105585971306,0.973499980610258
Gene106,-0.1069152039165119,0.2518507841500511,0.7271069193935619
Gene107,-0.046523342177355924,0.8428511043182408,0.9785761391644862
Gene108,-0.02140433914053275,0.8469786266100899,0.9785761391644862
Gene109,-0.030214613047007875,0.7663984011663413,0.9680991209431772
Gene11,-0.08300142496889022,0.3864709592509218,0.8173417515812588
Gene110,-1.6840956927404076,1.444802813496435e-5,1.9264037513285802e-4
Gene111,-0.07565911543400637,0.5335264874349271,0.8966831721595414
Gene112,-0.009533261831482924,0.9378911871361872,0.9832053709157564
Gene113,0.1470850250842007,0.22184498345529827,0.7053285972502727
Gene114,-0.08731676773825305,0.17248377788441005,0.6250538347367243
Gene115,0.013141099688066255,0.8401879849691702,0.9785761391644862
Gene116,-0.1167822333758491,0.20750990584598214,0.6960466436437446
Gene117,0.09318188523959059,0.5043717309779773,0.8848626859262758
Gene118,0.12590247127867268,0.22410716221982704,0.7053285972502727
Gene119,0.15905915302037144,0.09377685260453618,0.5491451057280216
Gene12,-0.06561759305529843,0.4360766961969549,0.8493328119055553
Gene120,-1.6598378692668696,4.0716706620720546e-6,1.0179176655180137e-4
Gene121,0.05474296459443203,0.6982469677389811,0.9499958744748042
Gene122,0.08488889758651294,0.6049183755645846,0.9421844679210208
Gene123,0.04582283352858328,0.6467763228531945,0.9454077409983245
Gene124,-0.18191335198137754,0.3235475202828613,0.7880937413274778
Gene125,-0.1250771330501172,0.6077089818090584,0.9421844679210208
Gene126,0.040806216387885834,0.8084464475330619,0.9785761391644862
Gene127,-0.13367843523196937,0.6765835291187439,0.9454077409983245
Gene128,-0.12244716376232809,0.23308826537586136,0.717194662694958
Gene129,0.02275591406770528,0.900039853967404,0.9796173758141472
Gene13,0.022648738945200326,0.7679345408345717,0.9680991209431772
Gene130,-1.5293336318674535,8.823639883856666e-6,1.4706066473094443e-4
Gene131,0.22980549516916093,0.1267270333674839,0.5503251519877373
Gene132,-0.13544203965415655,0.4353931481625729,0.8493328119055553
Gene133,-0.12461033464947946,0.1059080210403651,0.5491451057280216
Gene134,-0.06606900965888997,0.5566157041004856,0.916300899523831
Gene135,-0.0099681690912357,0.883211236223236,0.9785761391644862
Gene136,0.07006058343494778,0.5253713422158416,0.8904599020607484
Gene137,-0.09637606122502805,0.306532204938066,0.7824967963901333
Gene138,-0.09227038428008218,0.10732759136828222,0.5491451057280216
Gene139,-0.2633783550643868,0.0310130382444478,0.23856183264959846
Gene14,-0.11220950358602494,0.4214118313736642,0.8493328119055553
Gene140,-1.7320389130862797,1.2764240169629051e-7,2.1223777879175197e-5
Gene141,0.10123852306120487,0.1339833499820906,0.5503251519877373
Gene142,0.045682815327025963,0.45990953118235367,0.8493328119055553
Gene143,0.10440471307265016,0.46917711596880285,0.8493328119055553
Gene144,-0.052751666775340454,0.667966469935819,0.9454077409983245
Gene145,-0.13350159319243857,0.1462644921857256,0.5519414799461343
Gene146,0.013175388747733167,0.8025986988375681,0.9785761391644862
Gene147,0.1639899461251765,0.030077177621478535,0.23856183264959846
Gene148,0.0036022366801955253,0.9279327177956729,0.9832053709157564
Gene149,-0.07314767273381048,0.46661466702316234,0.8493328119055553
Gene15,-0.07400058144377693,0.43068608087631755,0.8493328119055553
Gene150,-1.7548875021634687,1.1159331412213635e-5,1.7168202172636362e-4
Gene151,0.03111053254003028,0.7744792967545417,0.9680991209431772
Gene152,0.11945550053419192,0.2785872774387107,0.7738037584679619
Gene153,0.04394334758759717,0.4840622441186767,0.864396864497637
Gene154,-0.026639125098371248,0.7068520833139593,0.955205517991837
Gene155,-0.23893873021633072,0.24817736169398444,0.7271069193935619
Gene156,-0.09864997324475125,0.3831058435472521,0.8173417515812588
Gene157,-0.11651400872642516,0.3129987185560533,0.7824967963901333
Gene158,-0.0072497390793878356,0.8898411972863558,0.9785761391644862
Gene159,0.06538093120549815,0.5591446110446774,0.916300899523831
Gene16,-0.06073034753318559,0.6806935735187937,0.9454077409983245
Gene160,-1.7189008784042146,7.066110238511736e-6,1.284747316093043e-4
Gene161,0.056449330418185416,0.6242067859972626,0.9454077409983245
Gene162,0.044394119358453436,0.768787129370255,0.9680991209431772
Gene163,0.006406294011928685,0.9598762288835918,0.9869358961033177
Gene164,-0.028249476804173602,0.7511701962474573,0.9680991209431772
Gene165,0.08827749583466282,0.31702545529832993,0.7827789019711849
Gene166,0.06140054466414327,0.6005816652276564,0.9421844679210208
Gene167,0.17002997434161238,0.11257474667424441,0.5491451057280216
Gene168,-0.15877214050358626,0.32705890265090326,0.7880937413274778
Gene169,-0.11574986129127356,0.12972578427227205,0.5503251519877373
Gene17,-0.12529876961599623,0.2581229563847145,0.7271069193935619
Gene170,-1.4004343286328467,2.364274852706766e-5,2.9553435658834573e-4
Gene171,0.039058959979777264,0.6642344495014729,0.9454077409983245
Gene172,0.0594493084703192,0.3484896992135616,0.8011257453185323
Gene173,-0.0017288139167508452,0.9792582440459651,0.9869358961033177
Gene174,-0.041436803078644335,0.75250087877351,0.9680991209431772
Gene175,-0.10285881300573506,0.4547346777768493,0.8493328119055553
Gene176,-0.22281730575739234,0.15260954534855703,0.565220538327989
Gene177,-0.13733558299648435,0.142832404738989,0.5503251519877373
Gene178,-0.011713420563790619,0.9750591979259551,0.9869358961033177
Gene179,-0.12596379882855963,0.3129531335090537,0.7824967963901333
Gene18,-0.7188182474559469,0.024354309104266676,0.20295257586888898
Gene180,-1.2820353677638496,9.059212425764739e-5,9.536013079752357e-4
Gene181,-0.004160623044842022,0.9680042381482874,0.9869358961033177
Gene182,-0.004760251920089918,0.9391484842475145,0.9832053709157564
Gene183,0.05299308761388444,0.9012479857490154,0.9796173758141472
Gene184,-0.20213558088984848,0.2888564172438363,0.780693019577936
Gene185,0.007773160188577296,0.8883631437832552,0.9785761391644862
Gene186,-0.020946938444911696,0.924513827495629,0.9832053709157564
Gene187,-0.10695901687613674,0.5205109766900994,0.8897623533164092
Gene188,-0.004175675971193109,0.9333168396269649,0.9832053709157564
Gene189,0.10309349296410342,0.6134265507694596,0.9437331550299379
Gene19,0.006821265856014275,0.8711916855053099,0.9785761391644862
Gene190,-1.537206546301426,3.6819302300946246e-6,1.0179176655180137e-4
Gene191,0.1531297588993343,0.09891516824698456,0.5491451057280216
Gene192,8.071021418274956e-4,0.9869358961033177,0.9869358961033177
Gene193,0.21959514456889648,0.03715230867988208,0.2653736334277292
Gene194,0.07955129909675965,0.49834981488836083,0.8820350705988688
Gene195,-0.12240327508560857,0.14308453951681172,0.5503251519877373
Gene196,0.0674279275202907,0.459954291654319,0.8493328119055553
Gene197,-0.025371789708311537,0.7545229788313913,0.9680991209431772
Gene198,-0.19132170676791319,0.22570515112008727,0.7053285972502727
Gene199,0.013406658551149872,0.9665201460938564,0.9869358961033177
Gene2,-0.10487770427668848,0.3054456100049608,0.7824967963901333
Gene20,1.6341816303231291,1.350183483703131e-5,1.9264037513285802e-4
Gene200,-1.4452139735368499,2.658731452786702e-4,0.002658731452786702
Gene21,-0.03296740657346117,0.7563669342628223,0.9680991209431772
Gene22,-0.026829132832440913,0.7395430641352778,0.9680991209431772
Gene23,0.05579783843476715,0.6868700224478628,0.9474069275142936
Gene24,0.061183516451490415,0.5412467534860248,0.902077922476708
Gene25,-0.02717020116547008,0.8718407899378965,0.9785761391644862
Gene26,-0.19413534397193236,0.12425352371044293,0.5503251519877373
Gene27,-0.014546086058449264,0.788534984294309,0.973499980610258
Gene28,-0.10431653307118734,0.12866678426373568,0.5503251519877373
Gene29,0.19722737227586945,0.040130821748168316,0.2767642879184022
Gene3,0.12558666967656076,0.3094277913683424,0.7824967963901333
Gene30,1.4655211226396405,8.011299376730708e-7,3.2045197506922833e-05
Gene31,-0.12095465718582009,0.2824383718408061,0.7738037584679619
Gene32,-0.027326939178649364,0.8730289384940599,0.9785761391644862
Gene33,-0.07573412310487411,0.36432258125184674,0.8173417515812588
Gene34,0.20683592985935337,0.1028050569822275,0.5491451057280216
Gene35,0.15147646630253916,0.1977709334444986,0.6819687360155123
Gene36,-0.020464102559715577,0.8423651027857326,0.9785761391644862
Gene37,-0.19976951237577736,0.24848146863642542,0.7271069193935619
Gene38,0.14939471262081713,0.19095041894935272,0.6700014699977288
Gene39,0.051174844466863594,0.6779572643973123,0.9454077409983245
Gene4,-0.11204086397100523,0.4713797106075832,0.8493328119055553
Gene40,1.6933801990880812,6.503015032505382e-6,1.284747316093043e-4
Gene41,-0.1800816164784837,0.34124640499640796,0.7935962906893209
Gene42,-0.08926733809708741,0.6425386012410267,0.9454077409983245
Gene43,0.1415945295788257,0.1390581467944077,0.5503251519877373
Gene44,-0.15459088793420592,0.08509540772904851,0.5490026305099904
Gene45,0.23846718419451926,0.10218788832551423,0.5491451057280216
Gene46,0.1537185455388318,0.13637207018677833,0.5503251519877373
Gene47,0.05708109520726724,0.694876517546244,0.9499958744748042
Gene48,-0.029479878210045756,0.8391285634808322,0.9785761391644862
Gene49,0.20092231827708848,0.02260696277539913,0.1965822850034707
Gene5,0.12784104277106004,0.6024713070142712,0.9421844679210208
Gene50,1.6389897398720892,2.1223777879175196e-7,2.1223777879175197e-5
Gene51,-0.031206965465574582,0.6786853728748832,0.9454077409983245
Gene52,-0.10241556661316338,0.35750084800969734,0.8125019272947668
Gene53,-0.021648563304763446,0.6723944243472807,0.9454077409983245
Gene54,-0.08017034868398333,0.4703101791888913,0.8493328119055553
Gene55,-0.010231922610956295,0.8758139662965325,0.9785761391644862
Gene56,-0.005707999694780841,0.8905042866396823,0.9785761391644862
Gene57,0.03191344964667119,0.8402123140654975,0.9785761391644862
Gene58,-0.07340594172626069,0.43018105414081664,0.8493328119055553
Gene59,-0.09985306328729288,0.2552339076481533,0.7271069193935619
Gene6,-0.005433886050628114,0.9553925919867748,0.9869358961033177
Gene60,1.673376617021683,1.2813009076675042e-6,4.2710030255583476e-5
Gene61,0.09382202235652085,0.5687509976838548,0.9173403188449271
Gene62,-0.10529382698030407,0.17501507372628278,0.6250538347367243
Gene63,0.18825521787800745,0.09845168204077807,0.5491451057280216
Gene64,0.04458762684192914,0.8731058299243861,0.9785761391644862
Gene65,0.1061655572169279,0.2931870663898067,0.7818321770394845
Gene66,0.16145237978728985,0.25649436913380874,0.7271069193935619
Gene67,-0.36156785979533146,0.0012434129914718414,0.011842028490208014
Gene68,-0.05596775286704575,0.44175588406079014,0.8493328119055553
Gene69,0.1331763426947176,0.21597324434896256,0.7053285972502727
Gene7,0.013977777556452797,0.890386421976507,0.9785761391644862
Gene70,1.5908873346782615,8.647430791488925e-5,9.536013079752357e-4
Gene71,-0.01801140798431854,0.9410925525677843,0.9832053709157564
Gene72,-0.029675354419665723,0.7125813739328188,0.956485065681636
Gene73,0.231153586865406,0.006610418585354494,0.060094714412313587
Gene74,-0.12081923191887971,0.37343268036510563,0.8173417515812588
Gene75,-0.06836572058754406,0.5845514157817133,0.9352822652507413
Gene76,-0.1573726294860378,0.034671100780806166,0.25682296874671234
Gene77,-0.0160047050029716,0.9834382853451429,0.9869358961033177
Gene78,-0.10087709163071595,0.38823733200109795,0.8173417515812588
Gene79,0.05694823671461297,0.6577878621979569,0.9454077409983245
Gene8,0.09107616214384791,0.11238635014973608,0.5491451057280216
Gene80,1.4202909731561422,4.717412151328655e-6,1.0483138114063678e-4
Gene81,-0.013827853855287358,0.8345432610351056,0.9785761391644862
Gene82,0.042852490620364725,0.6789281281030541,0.9454077409983245
Gene83,0.015106892390208387,0.8502176091055217,0.9785761391644862
Gene84,0.20315062497596748,0.46183905692205685,0.8493328119055553
Gene85,-0.15200309344504995,0.664749019379573,0.9454077409983245
Gene86,0.01227832977843701,0.9438771560791261,0.9832053709157564
Gene87,-0.23581293709876955,0.33262126474802806,0.7919553922572097
Gene88,-0.11583632010776108,0.37751345060814384,0.8173417515812588
Gene89,-0.10632397583328825,0.3824242452239855,0.8173417515812588
Gene9,0.04677840519298835,0.6259047426190159,0.9454077409983245
Gene90,1.6441112857069409,4.91630577752141e-5,5.783889150025188e-4
Gene91,-0.24902754783991468,0.05292333596065995,0.352822239737733
Gene92,-0.05439513956467619,0.5635250532071561,0.916300899523831
Gene93,0.11459170862056081,0.12453616275403076,0.5503251519877373
Gene94,0.049327712363568324,0.7631763266608663,0.9680991209431772
Gene95,-0.14961254602005591,0.13869515514816874,0.5503251519877373
Gene96,0.06848951704286137,0.41530309880385924,0.8493328119055553
Gene97,-0.1611547918145803,0.20881399309312337,0.6960466436437446
Gene98,0.05761828448467367,0.40068095146211,0.8347519822127293
Gene99,-0.007432757506516957,0.9306907931157271,0.9832053709157564
